"OldRel","NewRel","Project","Problem"
"作品\Soul of Another World\場景設計\第一場景確定稿\scenes.jpg","作品\Soul of Another World\場景設計\第一場景確定稿\SAW_第一場景_定稿_03.jpg","異界之魂","頁面封面舊檔名"
"作品\Soul of Another World\場景設計\第一場景確定稿\scenes2.jpg","作品\Soul of Another World\場景設計\第一場景確定稿\SAW_第一場景_定稿_04.jpg","異界之魂","頁面素材舊檔名"
"作品\Soul of Another World\場景設計\第一場景確定稿\scenes4.jpg","作品\Soul of Another World\場景設計\第一場景確定稿\SAW_第一場景_定稿_05.jpg","異界之魂","頁面素材舊檔名"
"作品\Soul of Another World\美術設計\主角角色設計\草稿\action_character.png","作品\Soul of Another World\美術設計\主角角色設計\草稿\SAW_主角_動作_03.png","異界之魂","檔名語意不足"
"作品\Soul of Another World\遊戲機關設計\動態捕捉技術.jpg","作品\Soul of Another World\遊戲機關設計\SAW_動態捕捉_01.jpg","異界之魂","未套用專案前綴"
"作品\Soul of Another World\遊戲機關設計\遊戲道具設計稿\表單.png","作品\Soul of Another World\遊戲機關設計\遊戲道具設計稿\SAW_道具表單_01.png","異界之魂","檔名語意不足"
"作品\巨人與孤獨星球\使用者介面設計\LOGO確定稿\中文標題.png","作品\巨人與孤獨星球\使用者介面設計\LOGO確定稿\GLP_LOGO_中文標題_01.png","巨人與孤獨星球","未套用專案前綴"
"作品\巨人與孤獨星球\使用者介面設計\UI.jpg","作品\巨人與孤獨星球\使用者介面設計\GLP_UI_總覽_01.jpg","巨人與孤獨星球","檔名太泛用"
"作品\巨人與孤獨星球\使用者介面設計\教学ui\傳送門.png","作品\巨人與孤獨星球\使用者介面設計\教学ui\GLP_教學UI_傳送門_01.png","巨人與孤獨星球","未套用專案前綴"
"作品\巨人與孤獨星球\使用者介面設計\教学ui\攻擊.png","作品\巨人與孤獨星球\使用者介面設計\教学ui\GLP_教學UI_攻擊_01.png","巨人與孤獨星球","未套用專案前綴"
"作品\巨人與孤獨星球\使用者介面設計\教学ui\滑鏟.png","作品\巨人與孤獨星球\使用者介面設計\教学ui\GLP_教學UI_滑鏟_01.png","巨人與孤獨星球","未套用專案前綴"
"作品\巨人與孤獨星球\使用者介面設計\教学ui\移動.png","作品\巨人與孤獨星球\使用者介面設計\教学ui\GLP_教學UI_移動_01.png","巨人與孤獨星球","未套用專案前綴"
"作品\巨人與孤獨星球\使用者介面設計\教学ui\跳躍.png","作品\巨人與孤獨星球\使用者介面設計\教学ui\GLP_教學UI_跳躍_01.png","巨人與孤獨星球","未套用專案前綴"
"作品\巨人與孤獨星球\場景設計\第一場景設計稿\場景修改事項\場景修改事項_1 P4.png","作品\巨人與孤獨星球\場景設計\第一場景設計稿\場景修改事項\GLP_第一場景_修改_01.png","巨人與孤獨星球","檔名含簡報頁碼"
"作品\巨人與孤獨星球\場景設計\第一場景設計稿\場景修改事項\場景修改事項 2 P5.png","作品\巨人與孤獨星球\場景設計\第一場景設計稿\場景修改事項\GLP_第一場景_修改_02.png","巨人與孤獨星球","檔名含簡報頁碼"
"作品\巨人與孤獨星球\場景設計\第一場景設計稿\場景修改事項\場景修改事項21.png","作品\巨人與孤獨星球\場景設計\第一場景設計稿\場景修改事項\GLP_第一場景_修改_03.png","巨人與孤獨星球","檔名含流水號"
"作品\巨人與孤獨星球\場景設計\第一場景設計稿\場景修改事項\場景修改事項22.png","作品\巨人與孤獨星球\場景設計\第一場景設計稿\場景修改事項\GLP_第一場景_修改_04.png","巨人與孤獨星球","檔名含流水號"
"作品\巨人與孤獨星球\場景設計\第一場景設計稿\場景修改事項\場景修改事項23.png","作品\巨人與孤獨星球\場景設計\第一場景設計稿\場景修改事項\GLP_第一場景_修改_05.png","巨人與孤獨星球","檔名含流水號"
"作品\巨人與孤獨星球\場景設計\第一場景設計稿\場景修改事項\場景修改事項24.png","作品\巨人與孤獨星球\場景設計\第一場景設計稿\場景修改事項\GLP_第一場景_修改_06.png","巨人與孤獨星球","檔名含流水號"
"作品\巨人與孤獨星球\場景設計\第二場景設計稿\平面圖\20250429_012322.jpg","作品\巨人與孤獨星球\場景設計\第二場景設計稿\平面圖\GLP_第二場景_平面圖_01.jpg","巨人與孤獨星球","檔名只有日期"
"作品\巨人與孤獨星球\場景設計\第二場景設計稿\平面圖\Ppt筆記 P7.png","作品\巨人與孤獨星球\場景設計\第二場景設計稿\平面圖\GLP_第二場景_平面圖_02.png","巨人與孤獨星球","檔名含簡報頁碼"
"作品\巨人與孤獨星球\美術設計\主角角色設計\確定稿\專題主角立繪.jpg","作品\巨人與孤獨星球\美術設計\主角角色設計\確定稿\GLP_主角_立繪_01.jpg","巨人與孤獨星球","封面素材未套用前綴"
"作品\巨人與孤獨星球\美術設計\主角角色設計\確定稿\專題主角立繪(去影子).jpg","作品\巨人與孤獨星球\美術設計\主角角色設計\確定稿\GLP_主角_立繪_02.jpg","巨人與孤獨星球","封面素材未套用前綴"
"作品\巨人與孤獨星球\美術設計\主角角色設計\草稿\主角三視圖.jpg","作品\巨人與孤獨星球\美術設計\主角角色設計\草稿\GLP_主角_三視圖_01.jpg","巨人與孤獨星球","未套用專案前綴"
"作品\巨人與孤獨星球\美術設計\主角角色設計\草稿\主角的外衣.png","作品\巨人與孤獨星球\美術設計\主角角色設計\草稿\GLP_主角_外衣_01.png","巨人與孤獨星球","未套用專案前綴"
"作品\巨人與孤獨星球\美術設計\主角角色設計\草稿\披風的大致剪裁與穿法.png","作品\巨人與孤獨星球\美術設計\主角角色設計\草稿\GLP_主角_披風_01.png","巨人與孤獨星球","檔名過長"
"作品\巨人與孤獨星球\美術設計\主角角色設計\草稿\服裝.jpg","作品\巨人與孤獨星球\美術設計\主角角色設計\草稿\GLP_主角_服裝_01.jpg","巨人與孤獨星球","未套用專案前綴"
"作品\巨人與孤獨星球\美術設計\主角角色設計\草稿\材質.png","作品\巨人與孤獨星球\美術設計\主角角色設計\草稿\GLP_主角_材質_01.png","巨人與孤獨星球","未套用專案前綴"
"作品\巨人與孤獨星球\美術設計\主角角色設計\草稿\皮甲.png","作品\巨人與孤獨星球\美術設計\主角角色設計\草稿\GLP_主角_皮甲_01.png","巨人與孤獨星球","未套用專案前綴"
"作品\巨人與孤獨星球\美術設計\主角角色設計\草稿\臉(決定).jpg","作品\巨人與孤獨星球\美術設計\主角角色設計\草稿\GLP_主角_臉部定稿_01.jpg","巨人與孤獨星球","未套用專案前綴"
"作品\巨人與孤獨星球\美術設計\主角角色設計\草稿\臉.jpg","作品\巨人與孤獨星球\美術設計\主角角色設計\草稿\GLP_主角_臉部草稿_01.jpg","巨人與孤獨星球","未套用專案前綴"
"作品\巨人與孤獨星球\美術設計\主角角色設計\草稿\頭.png","作品\巨人與孤獨星球\美術設計\主角角色設計\草稿\GLP_主角_頭部_01.png","巨人與孤獨星球","未套用專案前綴"
"作品\巨人與孤獨星球\美術設計\主角角色設計\草稿\髮型.jpg","作品\巨人與孤獨星球\美術設計\主角角色設計\草稿\GLP_主角_髮型_01.jpg","巨人與孤獨星球","未套用專案前綴"
"作品\巨人與孤獨星球\美術設計\巨人角色設計\確定稿\石頭巨人-1號.jpg","作品\巨人與孤獨星球\美術設計\巨人角色設計\確定稿\GLP_石頭巨人_定稿_01.jpg","巨人與孤獨星球","未套用專案前綴"
"作品\巨人與孤獨星球\美術設計\巨人角色設計\確定稿\石頭巨人-1號(去掉人跟影子).jpg","作品\巨人與孤獨星球\美術設計\巨人角色設計\確定稿\GLP_石頭巨人_定稿_02.jpg","巨人與孤獨星球","檔名過長"
"作品\巨人與孤獨星球\美術設計\巨人角色設計\確定稿\石頭巨人-1號1.jpg","作品\巨人與孤獨星球\美術設計\巨人角色設計\確定稿\GLP_石頭巨人_定稿_03.jpg","巨人與孤獨星球","檔名含不清楚流水號"
"作品\巨人與孤獨星球\美術設計\巨人角色設計\確定稿\飛行巨人.jpg","作品\巨人與孤獨星球\美術設計\巨人角色設計\確定稿\GLP_飛行巨人_定稿_01.jpg","巨人與孤獨星球","未套用專案前綴"
"作品\巨人與孤獨星球\美術設計\巨人角色設計\確定稿\飛行巨人 翅膀.jpg","作品\巨人與孤獨星球\美術設計\巨人角色設計\確定稿\GLP_飛行巨人_翅膀_01.jpg","巨人與孤獨星球","未套用專案前綴"
"作品\巨人與孤獨星球\美術設計\巨人角色設計\草稿\巨人1.jpg","作品\巨人與孤獨星球\美術設計\巨人角色設計\草稿\GLP_巨人_草稿_08.jpg","巨人與孤獨星球","檔名太泛用"
"作品\巨人與孤獨星球\遊戲機關設計\第一場景引導用遺跡\設計稿\上視圖.jpg","作品\巨人與孤獨星球\遊戲機關設計\第一場景引導用遺跡\設計稿\GLP_引導遺跡_上視圖_01.jpg","巨人與孤獨星球","未套用專案前綴"
"作品\巨人與孤獨星球\遊戲機關設計\第一場景引導用遺跡\設計稿\側視圖.jpg","作品\巨人與孤獨星球\遊戲機關設計\第一場景引導用遺跡\設計稿\GLP_引導遺跡_側視圖_01.jpg","巨人與孤獨星球","未套用專案前綴"
"作品\巨人與孤獨星球\遊戲機關設計\第一場景引導用遺跡\設計稿\廢墟側視圖.jpg","作品\巨人與孤獨星球\遊戲機關設計\第一場景引導用遺跡\設計稿\GLP_引導遺跡_廢墟側視_01.jpg","巨人與孤獨星球","未套用專案前綴"
"作品\巨人與孤獨星球\遊戲機關設計\第一場景引導用遺跡\設計稿\廢墟正視圖.jpg","作品\巨人與孤獨星球\遊戲機關設計\第一場景引導用遺跡\設計稿\GLP_引導遺跡_廢墟正視_01.jpg","巨人與孤獨星球","未套用專案前綴"
"作品\巨人與孤獨星球\遊戲機關設計\第一場景引導用遺跡\設計稿\未啟動.jpg","作品\巨人與孤獨星球\遊戲機關設計\第一場景引導用遺跡\設計稿\GLP_引導遺跡_未啟動_01.jpg","巨人與孤獨星球","未套用專案前綴"
"作品\巨人與孤獨星球\遊戲機關設計\第一場景引導用遺跡\設計稿\比例.jpg","作品\巨人與孤獨星球\遊戲機關設計\第一場景引導用遺跡\設計稿\GLP_引導遺跡_比例_01.jpg","巨人與孤獨星球","未套用專案前綴"
"作品\巨人與孤獨星球\遊戲機關設計\第一場景物件\充能壓力板\充能壓力版(更新).jpg","作品\巨人與孤獨星球\遊戲機關設計\第一場景物件\充能壓力板\GLP_充能壓力板_更新_01.jpg","巨人與孤獨星球","未套用專案前綴"
"作品\巨人與孤獨星球\遊戲機關設計\第一場景物件\壓力版劍\壓力版劍.jpg","作品\巨人與孤獨星球\遊戲機關設計\第一場景物件\壓力版劍\GLP_壓力板劍_未觸發_01.jpg","巨人與孤獨星球","未套用專案前綴"
"作品\巨人與孤獨星球\遊戲機關設計\第一場景物件\壓力版劍\壓力版劍 觸發.jpg","作品\巨人與孤獨星球\遊戲機關設計\第一場景物件\壓力版劍\GLP_壓力板劍_觸發_01.jpg","巨人與孤獨星球","未套用專案前綴"
"作品\巨人與孤獨星球\遊戲機關設計\第一場景物件\壓力版劍演示\演示1.jpg","作品\巨人與孤獨星球\遊戲機關設計\第一場景物件\壓力版劍演示\GLP_壓力板劍_演示_01.jpg","巨人與孤獨星球","檔名太泛用"
"作品\巨人與孤獨星球\遊戲機關設計\第一場景物件\壓力版劍演示\演示2.jpg","作品\巨人與孤獨星球\遊戲機關設計\第一場景物件\壓力版劍演示\GLP_壓力板劍_演示_02.jpg","巨人與孤獨星球","檔名太泛用"
"作品\巨人與孤獨星球\遊戲機關設計\第一場景物件\大砲壓力板\大砲壓力板(更新).jpg","作品\巨人與孤獨星球\遊戲機關設計\第一場景物件\大砲壓力板\GLP_大砲壓力板_更新_01.jpg","巨人與孤獨星球","未套用專案前綴"
"作品\巨人與孤獨星球\遊戲機關設計\第一場景物件\尖刺\尖刺 (更新).jpg","作品\巨人與孤獨星球\遊戲機關設計\第一場景物件\尖刺\GLP_尖刺_更新_01.jpg","巨人與孤獨星球","未套用專案前綴"
"作品\巨人與孤獨星球\遊戲機關設計\第一場景物件\巨人劍\巨人劍 無觸發.jpg","作品\巨人與孤獨星球\遊戲機關設計\第一場景物件\巨人劍\GLP_巨人劍_未觸發_01.jpg","巨人與孤獨星球","未套用專案前綴"
"作品\巨人與孤獨星球\遊戲機關設計\第一場景物件\巨人劍\巨人劍 觸發.jpg","作品\巨人與孤獨星球\遊戲機關設計\第一場景物件\巨人劍\GLP_巨人劍_觸發_01.jpg","巨人與孤獨星球","未套用專案前綴"
"作品\巨人與孤獨星球\遊戲機關設計\第一場景物件\跳板\跳板.jpg","作品\巨人與孤獨星球\遊戲機關設計\第一場景物件\跳板\GLP_跳板_定稿_01.jpg","巨人與孤獨星球","未套用專案前綴"
